STEP,NM_X,P_O,TIE_O,P_X,NM_O,TIE_X
100,96,0,4,0,36,64
200,96,0,4,0,48,52
300,91,0,9,0,91,9
400,97,0,3,0,28,72
500,90,0,10,0,59,41
600,95,0,5,0,43,57
700,94,0,6,0,51,49
800,94,0,6,0,34,66
900,93,0,7,0,26,74
1000,90,0,10,0,30,70
1100,93,0,7,0,8,92
1200,94,0,6,0,100,0
1300,97,0,3,0,0,100
1400,91,0,9,0,100,0
1500,96,0,4,0,0,100
1600,96,0,4,0,37,63
1700,89,0,11,0,11,89
1800,89,0,11,0,23,77
1900,89,0,11,0,100,0
2000,95,0,5,0,100,0
2100,97,0,3,0,100,0
2200,93,0,7,0,100,0
2300,90,0,10,0,100,0
2400,86,0,14,0,25,75
2500,86,0,14,0,0,100
2600,91,0,9,0,27,73
2700,95,0,5,0,14,86
2800,94,0,6,0,0,100
2900,95,0,5,0,0,100
3000,91,0,9,0,100,0
3100,89,0,11,0,100,0
3200,89,0,11,0,0,100
3300,91,0,9,0,25,75
3400,85,0,15,0,0,100
3500,89,0,11,0,0,100
3600,82,0,18,0,27,73
3700,89,0,11,0,0,100
3800,93,0,7,0,100,0
3900,95,0,5,0,0,100
4000,97,0,3,0,0,100
4100,96,0,4,0,0,100
4200,96,0,4,0,0,100
4300,85,0,15,0,27,73
4400,87,0,13,0,0,100
4500,93,0,7,0,0,100
4600,94,0,6,0,0,100
4700,99,0,1,0,16,84
4800,99,0,1,0,0,100
4900,95,0,5,0,0,100
5000,91,0,9,0,0,100
5100,86,0,14,0,0,100
5200,90,0,10,0,0,100
5300,87,0,13,0,0,100
5400,88,0,12,0,0,100
5500,89,0,11,0,0,100
5600,95,0,5,0,0,100
5700,94,0,6,0,0,100
5800,87,0,13,0,15,85
5900,94,0,6,0,0,100
6000,95,0,5,0,14,86
6100,77,0,23,0,0,100
6200,81,0,19,0,0,100
6300,93,0,7,0,0,100
6400,83,0,17,0,0,100
6500,92,0,8,0,0,100
6600,94,0,6,0,100,0
6700,93,0,7,0,0,100
6800,96,0,4,0,0,100
6900,95,0,5,0,0,100
7000,97,0,3,0,0,100
7100,91,0,9,0,0,100
7200,96,0,4,0,0,100
7300,98,0,2,0,0,100
7400,87,0,13,0,0,100
7500,83,0,17,0,0,100
7600,76,0,24,0,0,100
7700,81,0,19,0,0,100
7800,83,0,17,0,0,100
7900,81,0,19,0,0,100
8000,96,0,4,0,0,100
8100,75,0,25,0,0,100
8200,74,0,26,0,0,100
8300,74,0,26,0,0,100
8400,79,0,21,0,0,100
8500,84,0,16,0,0,100
8600,89,0,11,0,0,100
8700,87,0,13,0,0,100
8800,89,0,11,0,0,100
8900,95,0,5,0,0,100
9000,93,0,7,0,0,100
9100,87,0,13,0,0,100
9200,94,0,6,0,0,100
9300,73,0,27,0,0,100
9400,80,0,20,0,0,100
9500,92,0,8,0,0,100
9600,86,0,14,0,0,100
9700,85,0,15,0,0,100
9800,80,0,20,0,0,100
9900,84,0,16,0,0,100
10000,77,0,23,0,21,79
